,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Xavier EdwardsX. Edwards,29,2025,MIA,94,380,52,112,17,3,1,39,1,61,17,7,425,138,21,3,2,2,4,.295,.360,.363,.723,52,2.7,.321,103,1.7,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Connor NorbyC. Norby,26,2025,MIA,72,253,33,61,11,1,6,14,4,73,7,2,273,92,18,0,2,0,2,.241,.289,.364,.653,26,-5.9,.287,80,-6.5,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Dane MyersD. Myers,25,2025,MIA,81,244,25,61,8,0,5,18,2,60,16,5,265,84,13,0,1,0,9,.250,.306,.344,.650,26,-5.2,.289,81,-5.8,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Mauricio DubónM. Dubón,23,2025,HOU,88,252,30,66,16,0,6,17,1,27,3,0,273,100,22,2,1,0,8,.262,.310,.397,.707,31,-1,.309,98,-0.7,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Javier SanojaJ. Sanoja,23,2025,MIA,77,201,29,50,13,3,3,13,0,31,3,5,222,78,19,4,4,0,1,.249,.289,.388,.677,22,-3.9,.292,83,-4.4,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Jake MeyersJ. Meyers,21,2025,HOU,89,289,47,89,15,2,3,27,2,58,14,5,322,117,20,2,2,0,8,.308,.369,.405,.774,45,7.3,.342,120,7.7,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Yordan AlvarezY. Alvarez,18,2025,HOU,29,100,7,21,4,0,3,16,0,21,1,0,121,34,7,0,5,3,0,.210,.306,.340,.646,10,-3.7,.276,75,-3.5,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Heriberto HernándezH. Hernández,18,2025,MIA,40,110,17,32,5,0,5,11,0,35,0,0,122,52,10,0,1,0,1,.291,.352,.473,.825,19,4.3,.357,128,4,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Matt MervisM. Mervis,14,2025,MIA,42,120,15,21,4,0,7,11,2,50,0,0,134,46,11,0,1,1,1,.175,.254,.383,.637,12,-4.2,.275,71,-4.5,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Brendan RodgersB. Rodgers,11,2025,HOU,43,115,12,22,4,0,2,11,1,46,0,1,128,32,6,0,1,0,2,.191,.266,.278,.544,8,-6.9,.247,55,-6.7,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Nick FortesN. Fortes,10,2025,MIA,59,129,11,31,6,1,2,7,2,22,0,0,141,45,9,2,1,0,4,.240,.288,.349,.637,13,-3.8,.280,75,-4.1,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Zach DezenzoZ. Dezenzo,10,2025,HOU,34,98,17,24,6,0,2,11,0,37,1,0,109,36,8,0,0,0,2,.245,.321,.367,.688,12,-0.6,.306,96,-0.5,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
