,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Kyren ParisK. Paris,11,2025,LAA,44,126,20,24,4,1,6,10,3,59,7,1,139,48,11,0,0,0,1,.190,.266,.381,.647,13,-3.3,.284,78,-3.6,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Matt ThaissM. Thaiss,8,2025,TBR,25,71,5,16,2,1,0,6,2,25,0,0,80,20,3,1,0,0,0,.225,.304,.282,.585,6,-2.9,.268,73,-2.5,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Eugenio SuárezE. Suárez,87,2025,AZ,106,387,64,96,19,0,36,29,15,117,1,0,437,223,55,0,6,1,7,.248,.320,.576,.897,73,22.1,.376,142,21.6,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Geraldo PerdomoG. Perdomo,75,2025,AZ,110,401,58,110,22,2,11,65,6,53,17,4,485,169,35,3,10,0,6,.274,.376,.421,.797,71,14.5,.351,125,13.9,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Manny MachadoM. Machado,72,2025,SDP,111,428,64,129,27,0,20,39,3,81,10,2,475,216,47,0,5,2,13,.301,.360,.505,.865,77,21.8,.370,143,24,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Josh NaylorJ. Naylor,59,2025,AZ,93,349,49,102,19,1,11,37,2,49,11,2,392,156,31,0,4,4,14,.292,.360,.447,.807,57,10.9,.348,123,10.5,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Gavin SheetsG. Sheets,54,2025,SDP,103,357,39,89,15,1,15,31,3,78,2,1,394,151,31,0,3,1,9,.249,.312,.423,.735,48,1.7,.319,108,3.6,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Corbin CarrollC. Carroll,52,2025,AZ,94,377,71,93,19,14,22,36,7,103,14,4,422,206,55,0,2,1,3,.247,.322,.546,.869,67,17.9,.366,135,17.4,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Lourdes Gurriel Jr.L. Gurriel Jr.,50,2025,AZ,101,396,35,98,21,2,12,26,4,57,8,3,432,159,35,0,6,0,8,.247,.296,.402,.698,47,-3.8,.303,91,-4.3,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Ketel MarteK. Marte,44,2025,AZ,79,295,56,85,15,0,21,46,4,50,2,2,346,163,36,0,1,4,7,.288,.390,.553,.943,65,24.4,.401,159,24,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Fernando Tatis Jr.F. Tatis Jr.,44,2025,SDP,109,413,77,109,18,2,17,61,5,85,22,4,480,182,37,0,1,7,4,.264,.365,.441,.805,70,13.9,.350,129,16.1,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Jackson MerrillJ. Merrill,44,2025,SDP,78,301,38,80,14,3,8,24,3,72,1,2,333,124,25,1,4,1,3,.266,.322,.412,.734,40,1.4,.319,107,2.9,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Luis ArraezL. Arraez,41,2025,SDP,105,425,50,127,21,4,6,22,2,12,5,2,460,174,31,8,3,0,5,.299,.334,.409,.743,58,4,.324,111,6.1,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Xander BogaertsX. Bogaerts,37,2025,SDP,109,394,47,106,24,0,7,44,1,68,16,1,445,151,31,1,5,3,10,.269,.340,.383,.723,53,1.3,.317,107,3.4,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Jake CronenworthJ. Cronenworth,32,2025,SDP,86,277,37,65,14,1,8,41,8,68,2,1,332,105,23,2,4,0,3,.235,.345,.379,.725,42,2.8,.324,111,4.3,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Pavin SmithP. Smith,28,2025,AZ,79,222,33,58,15,1,8,40,0,84,2,2,264,99,24,0,2,1,7,.261,.371,.446,.817,40,9.2,.357,129,8.9,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Alek ThomasA. Thomas,28,2025,AZ,95,284,36,71,13,2,7,17,4,80,5,2,310,109,22,3,2,0,2,.250,.300,.384,.683,33,-3.6,.299,89,-4,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Jose IglesiasJ. Iglesias,24,2025,SDP,81,224,21,52,9,0,0,16,5,44,4,1,249,61,9,2,2,0,4,.232,.296,.272,.568,18,-10.9,.259,67,-9.8,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Elias DíazE. Díaz,22,2025,SDP,86,211,26,43,7,0,5,18,1,61,0,0,234,65,12,4,0,0,8,.204,.270,.308,.578,17,-10.3,.259,67,-9.2,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Randal GrichukR. Grichuk,22,2025,AZ,70,175,25,42,15,1,7,10,0,39,0,1,188,80,23,0,3,1,5,.240,.277,.457,.734,21,-0.7,.309,96,-0.9,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Gabriel MorenoG. Moreno,20,2025,AZ,53,174,29,47,8,1,5,13,1,32,1,1,188,72,14,0,0,0,4,.270,.324,.414,.738,23,1.5,.323,106,1.3,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Jose HerreraJ. Herrera,14,2025,AZ,50,146,17,27,6,0,1,21,1,45,0,0,180,36,7,10,2,0,2,.185,.288,.247,.535,12,-9.2,.250,55,-9.4,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Tim TawaT. Tawa,14,2025,AZ,59,155,21,31,6,0,6,13,1,47,7,2,173,55,12,1,3,0,4,.200,.262,.355,.616,14,-6.2,.270,69,-6.4,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Jason HeywardJ. Heyward,12,2025,SDP,34,85,9,15,2,0,2,6,0,20,0,1,94,23,4,0,3,0,1,.176,.223,.271,.494,4,-7.3,.218,38,-6.8,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Martín MaldonadoM. Maldonado,12,2025,SDP,64,147,11,30,6,0,4,8,0,57,0,0,161,48,10,6,0,0,3,.204,.245,.327,.572,11,-8.1,.251,61,-7.3,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Tyler WadeT. Wade,9,2025,SDP,59,107,13,22,1,2,0,15,1,31,1,2,127,27,3,4,0,0,0,.206,.309,.252,.561,10,-5.2,.263,69,-4.6,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Jake McCarthyJ. McCarthy,9,2025,AZ,34,105,7,17,3,2,2,9,1,20,3,0,117,30,7,1,1,0,1,.162,.233,.286,.518,6,-7.8,.231,42,-7.9,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,RBI,"['Padres', 'Diamondbacks']",24471b1c-663e-809e-803b-cd849808f165,MLB
,Shohei OhtaniS. Ohtani,73,2025,LAD,110,431,102,118,14,7,38,71,3,136,15,4,507,260,59,0,2,13,5,.274,.379,.603,.982,98,38.2,.407,166,39.4,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Andy PagesA. Pages,65,2025,LAD,108,405,49,112,17,1,19,20,7,93,9,5,437,188,37,0,5,0,5,.277,.318,.464,.782,59,8.1,.337,118,9.1,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Teoscar HernándezT. Hernández,64,2025,LAD,90,343,44,86,20,0,16,18,1,90,5,1,364,154,36,0,2,0,9,.251,.288,.449,.737,44,0.9,.317,104,1.8,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Willson ContrerasW. Contreras,63,2025,STL,106,389,54,100,29,0,15,34,17,109,4,0,444,174,44,1,3,1,12,.257,.341,.447,.788,63,10.7,.344,123,11.7,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Freddie FreemanF. Freeman,60,2025,LAD,99,373,54,114,29,1,12,40,4,97,2,2,420,181,42,0,3,5,9,.306,.376,.485,.861,68,19,.370,141,20,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Max MuncyM. Muncy,55,2025,LAD,81,256,39,64,10,2,13,51,3,69,4,0,315,117,25,0,5,1,4,.250,.375,.457,.832,49,12.3,.362,135,13,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Will SmithW. Smith,50,2025,LAD,87,290,54,94,19,1,14,50,3,66,2,3,348,157,34,0,5,1,6,.324,.422,.541,.964,69,27.9,.413,170,28.7,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Alec BurlesonA. Burleson,49,2025,STL,100,341,38,97,19,0,14,30,1,49,4,0,376,158,33,1,3,1,11,.284,.341,.463,.805,54,10.3,.348,125,11.1,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Mookie BettsM. Betts,48,2025,LAD,102,399,63,93,15,1,11,42,2,50,8,1,449,143,27,0,6,2,8,.233,.305,.358,.664,45,-7.9,.292,87,-6.8,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Tommy EdmanT. Edman,44,2025,LAD,86,303,43,69,13,1,12,18,6,57,3,1,332,120,26,1,4,0,4,.228,.281,.396,.677,34,-5.2,.294,89,-4.5,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Nolan ArenadoN. Arenado,43,2025,STL,96,361,43,85,15,1,10,28,3,39,2,0,394,132,26,0,2,4,7,.235,.294,.366,.660,38,-8.5,.287,84,-7.6,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Brendan DonovanB. Donovan,42,2025,STL,103,398,56,112,24,0,9,39,7,59,3,1,449,163,33,1,4,3,4,.281,.353,.410,.762,60,7.2,.334,116,8.3,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Masyn WinnM. Winn,41,2025,STL,99,377,59,103,24,0,7,27,4,69,6,5,412,148,31,2,2,0,9,.273,.327,.393,.719,49,1,.317,104,1.9,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Iván HerreraI. Herrera,39,2025,STL,58,209,26,63,9,0,9,24,5,46,3,1,240,99,18,0,2,0,11,.301,.383,.474,.857,40,11.7,.374,144,12.3,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Lars NootbaarL. Nootbaar,37,2025,STL,89,336,50,76,15,0,12,48,5,85,4,4,391,127,27,0,2,2,4,.226,.330,.378,.708,46,0.2,.314,102,1.1,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Victor Scott IIV. Scott II,33,2025,STL,105,326,47,74,13,1,5,35,8,94,29,2,376,104,19,5,2,0,3,.227,.315,.319,.634,36,-7.8,.288,84,-6.9,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Pedro PagésP. Pagés,32,2025,STL,83,258,27,52,10,0,7,14,1,73,0,0,278,83,17,3,2,0,7,.202,.244,.322,.565,18,-14.7,.248,57,-14,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Nolan GormanN. Gorman,30,2025,STL,68,203,32,45,8,1,9,27,0,71,1,1,233,82,18,0,3,1,1,.222,.309,.404,.713,27,-0.6,.310,100,-0.1,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Jordan WalkerJ. Walker,27,2025,STL,69,225,24,51,10,1,3,17,2,78,4,2,245,72,14,0,1,0,5,.227,.286,.320,.606,20,-8.6,.270,72,-8,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Michael ConfortoM. Conforto,24,2025,LAD,97,300,40,58,17,0,9,41,8,80,1,0,350,102,26,0,1,0,10,.193,.306,.340,.646,35,-6,.292,87,-5.2,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Enrique HernándezE. Hernández,22,2025,LAD,71,169,23,33,5,0,8,15,0,48,0,0,186,62,13,1,1,0,6,.195,.259,.367,.626,16,-5.9,.274,75,-5.5,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Yohel PozoY. Pozo,16,2025,STL,47,116,13,32,8,0,4,4,0,14,0,0,121,52,12,0,1,0,2,.276,.298,.448,.746,15,0.6,.320,106,0.9,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Hyeseong KimH. Kim,15,2025,LAD,58,138,17,42,6,1,2,6,1,42,12,0,146,56,9,1,0,0,0,.304,.338,.406,.744,19,1.5,.326,111,1.8,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Miguel RojasM. Rojas,14,2025,LAD,70,165,21,41,8,0,6,15,0,24,2,0,181,67,14,1,0,0,6,.248,.311,.406,.717,21,0.1,.315,103,0.5,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,Dalton RushingD. Rushing,11,2025,LAD,30,83,9,16,3,0,1,7,1,37,0,0,92,22,4,0,1,0,0,.193,.261,.265,.526,5,-5.5,.239,51,-5.3,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,RBI,"['Cardinals', 'Dodgers']",24471b1c-663e-8055-9631-cbedb81e5942,MLB
