PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
160JoeJ JiménezJiménezP160‌‌‌,ATL,1,5,2.62,69,0,0,0,3,6,68.2,45,22,20,2,4,23,82,0.99,.181
160BryseB WilsonWilsonP160‌‌‌,MIL,5,4,4.04,34,9,0,0,0,0,104.2,102,49,47,20,4,31,82,1.27,.252
163JasonJ AdamAdamP163‌‌‌,SD,7,2,1.95,74,0,0,0,4,8,73.2,40,20,16,5,6,23,81,0.86,.159
163CarsonC FulmerFulmerP163‌‌‌,LAA,0,5,4.15,37,8,0,0,0,1,86.2,81,45,40,11,5,40,81,1.40,.246
163PatrickP SandovalSandovalP163‌‌‌,LAA,2,8,5.08,16,16,0,0,0,0,79.2,85,49,45,8,3,35,81,1.51,.272
166CarsonC SpiersSpiersP166‌‌‌,CIN,5,7,5.46,22,10,0,0,0,0,90.2,112,59,55,20,5,27,80,1.53,.297
166RyanR WeathersWeathersP166‌‌‌,MIA,5,6,3.63,16,16,0,0,0,0,86.2,78,39,35,11,9,24,80,1.18,.236
168LoganL AllenAllenP168‌‌‌,CLE,8,5,5.73,20,20,0,0,0,0,97.1,113,63,62,22,4,41,79,1.58,.295
168JoséJ ButtóButtóP168‌‌‌,NYM,7,3,2.55,30,7,0,0,3,6,74.0,41,21,21,6,5,38,79,1.07,.167
168RyanR HelsleyHelsleyP168‌‌‌,STL,7,4,2.04,65,0,0,0,49,53,66.1,50,19,15,3,0,23,79,1.10,.210
168ChrisC PaddackPaddackP168‌‌‌,MIN,5,3,4.99,17,17,0,0,0,0,88.1,102,50,49,14,1,21,79,1.39,.283
168MattM StrahmStrahmP168‌‌‌,PHI,6,2,1.87,66,0,0,0,3,9,62.2,36,14,13,4,6,11,79,0.75,.166
168GavinG WilliamsWilliamsP168‌‌‌,CLE,3,10,4.86,16,16,0,0,0,0,76.0,72,42,41,7,3,32,79,1.37,.246
174TannerT BanksBanksP174‌‌‌,PHI,2,3,3.98,63,2,0,0,2,6,72.1,69,41,32,6,3,25,78,1.30,.249
174YuY DarvishDarvishP174‌‌‌,SD,7,3,3.31,16,16,0,0,0,0,81.2,65,32,30,12,3,22,78,1.07,.217
174CamiloC DovalDovalP174‌‌‌,SF,5,3,4.88,62,0,0,0,23,28,59.0,54,35,32,5,2,39,78,1.58,.241
174ColeC IrvinIrvinP174‌‌‌,MIN,6,6,5.11,29,16,0,0,1,1,111.0,132,71,63,18,6,29,78,1.45,.293
174CaseyC MizeMizeP174‌‌‌,DET,2,6,4.49,22,20,0,0,0,0,102.1,121,57,51,11,2,29,78,1.47,.290
179DavidD FestaFestaP179‌‌‌,MIN,2,6,4.90,14,13,0,0,0,0,64.1,62,36,35,9,2,23,77,1.32,.247
179KevinK GinkelGinkelP179‌‌‌,AZ,8,3,3.21,72,0,0,0,5,11,70.0,69,31,25,6,3,15,77,1.20,.256
179TylerT HoltonHoltonP179‌‌‌,DET,7,2,2.19,66,9,0,0,8,8,94.1,57,25,23,7,4,17,77,0.78,.173
179KeiderK MonteroMonteroP179‌‌‌,DET,6,6,4.76,19,16,1,1,0,0,98.1,100,54,52,19,3,31,77,1.33,.265
179AndrésA MuñozMuñozP179‌‌‌,SEA,3,7,2.12,60,0,0,0,22,27,59.1,31,16,14,6,3,26,77,0.96,.153
179TrentT ThorntonThorntonP179‌‌‌,SEA,4,3,3.61,71,0,0,0,1,1,72.1,63,32,29,8,5,19,77,1.13,.238
185DerekD LawLawP185‌‌‌,WSH,7,4,2.60,75,0,0,0,1,6,90.0,82,31,26,7,1,24,76,1.18,.246
185DylanD LeeLeeP185‌‌‌,ATL,4,2,2.11,52,0,0,0,0,2,59.2,49,19,14,7,0,17,76,1.11,.222
185MatthewM LiberatoreLiberatoreP185‌‌‌,STL,3,4,4.40,60,6,0,0,0,2,86.0,81,44,42,11,2,28,76,1.27,.251
188RobertR GarciaGarciaP188‌‌‌,WSH,3,6,4.22,72,0,0,0,0,4,59.2,55,34,28,4,1,16,75,1.19,.237
188SeanS HjelleHjelleP188‌‌‌,SF,3,4,3.90,58,0,0,0,0,0,80.2,84,37,35,10,5,14,75,1.21,.268
188NickN MearsMearsP188‌‌‌,MIL,1,5,5.93,54,0,0,0,0,2,57.2,61,40,38,7,0,24,75,1.47,.268
191OrionO KerkeringKerkeringP191‌‌‌,PHI,5,3,2.29,64,2,0,0,0,2,63.0,51,20,16,2,8,17,74,1.08,.223
191TristonT McKenzieMcKenzieP191‌‌‌,CLE,3,5,5.11,16,16,0,0,0,0,75.2,69,46,43,19,1,49,74,1.56,.240
191NateN PearsonPearsonP191‌‌‌,CHC,2,2,4.48,60,1,0,0,2,4,66.1,67,34,33,12,3,21,74,1.33,.263
191JustinJ VerlanderVerlanderP191‌‌‌,HOU,5,6,5.48,17,17,0,0,0,0,90.1,98,56,55,15,6,27,74,1.38,.274
195CooperC CriswellCriswellP195‌‌‌,BOS,6,5,4.08,26,18,0,0,0,1,99.1,103,52,45,10,7,31,73,1.35,.273
195CraigC KimbrelKimbrelP195‌‌‌,BAL,7,5,5.33,57,0,0,0,23,29,52.1,40,35,31,7,5,31,73,1.36,.208
195JamesJ PaxtonPaxtonP195‌‌‌,BOS,9,3,4.40,21,21,0,0,0,0,100.1,95,53,49,12,1,50,73,1.45,.251
195JoeyJ WentzWentzP195‌‌‌,PIT,1,2,4.68,46,0,0,0,1,1,67.1,66,37,35,8,4,33,73,1.47,.252
199DeclanD CroninCroninP199‌‌‌,MIA,3,4,4.35,56,0,0,0,0,1,70.1,75,41,34,1,5,25,72,1.42,.274
199LucasL ErcegErcegP199‌‌‌,KC,2,6,3.36,61,0,0,0,14,19,61.2,49,26,23,3,6,16,72,1.05,.212
199TylerT KinleyKinleyP199‌‌‌,COL,6,1,6.19,67,0,0,0,12,13,64.0,61,44,44,11,2,33,72,1.47,.248
202GarrettG CleavingerCleavingerP202‌‌‌,TB,7,5,3.75,68,0,0,0,6,8,60.0,52,29,25,6,7,31,71,1.38,.231
202RyanR FernandezFernandezP202‌‌‌,STL,1,6,3.51,62,0,0,0,2,5,66.2,58,30,26,4,2,32,71,1.35,.236
202AdrianA MorejonMorejonP202‌‌‌,SD,3,2,2.83,60,0,0,0,2,4,63.2,63,24,20,4,1,21,71,1.32,.256
202TaylerTay ScottScottP202‌‌‌,HOU,7,3,2.23,62,1,0,0,0,3,68.2,45,21,17,7,4,35,71,1.17,.188
206CodyC BradfordBradfordP206‌‌‌,TEX,6,3,3.54,14,13,0,0,0,0,76.1,64,32,30,10,1,13,70,1.01,.218
206AndrewA ChafinChafinP206‌‌‌,TEX,4,3,3.51,62,0,0,0,1,4,56.1,52,26,22,5,1,31,70,1.47,.246
206BuckB FarmerFarmerP206‌‌‌,CIN,3,2,3.04,61,1,0,0,1,2,71.0,56,25,24,7,7,29,70,1.20,.215
206GrantG HolmesHolmesP206‌‌‌,ATL,2,1,3.56,26,7,0,0,0,1,68.1,66,27,27,7,2,15,70,1.19,.252
206RodderyR MuñozMuñozP206‌‌‌,MIA,2,7,6.53,18,17,0,0,0,0,82.2,89,66,60,26,5,42,70,1.58,.272
206AndrewA NardiNardiP206‌‌‌,MIA,3,2,5.07,59,0,0,0,0,6,49.2,44,29,28,7,1,18,70,1.25,.234
206AdamA OttavinoOttavinoP206‌‌‌,NYM,2,2,4.34,60,0,0,0,1,3,56.0,49,29,27,6,7,23,70,1.29,.230
206JoséJ UreñaUreñaP206‌‌‌,TEX,5,8,3.80,33,9,0,0,1,1,109.0,105,51,46,13,4,39,70,1.32,.254
214ShaneS BazBazP214‌‌‌,TB,4,3,3.06,14,14,0,0,0,0,79.1,57,28,27,9,4,27,69,1.06,.200
214BeauB BrieskeBrieskeP214‌‌‌,DET,4,5,3.59,46,12,0,0,1,2,67.2,55,31,27,5,2,30,69,1.26,.224
214AaronA BummerBummerP214‌‌‌,ATL,4,3,3.58,56,0,0,0,0,3,55.1,61,24,22,2,2,18,69,1.43,.277
214LandonL KnackKnackP214‌‌‌,LAD,3,5,3.65,15,12,0,0,1,1,69.0,58,28,28,14,3,18,69,1.10,.220
214YukiY MatsuiMatsuiP214‌‌‌,SD,4,2,3.73,64,0,0,0,0,4,62.2,46,27,26,8,0,27,69,1.16,.204
214CadeC PovichPovichP214‌‌‌,BAL,3,9,5.20,16,16,0,0,0,0,79.2,80,49,46,12,3,34,69,1.43,.256
214DennisD SantanaSantanaP214‌‌‌,PIT,3,1,3.89,62,0,0,0,3,3,71.2,57,33,31,4,4,21,69,1.09,.220
221ScottS BarlowBarlowP221‌‌‌,CLE,3,3,4.25,63,0,0,0,2,3,55.0,44,27,26,6,4,31,68,1.36,.216
221SeranthonyS DomínguezDomínguezP221‌‌‌,BAL,3,4,4.45,63,0,0,0,11,13,58.2,52,32,29,12,2,21,68,1.24,.225
221TimT HerrinHerrinP221‌‌‌,CLE,5,1,1.92,75,0,0,0,0,2,65.2,39,17,14,2,5,25,68,0.97,.173
221ClayC HolmesHolmesP221‌‌‌,NYY,3,5,3.14,67,0,0,0,30,43,63.0,60,29,22,4,3,22,68,1.30,.248
221RaiselR IglesiasIglesiasP221‌‌‌,ATL,6,2,1.95,66,0,0,0,34,38,69.1,38,19,15,4,3,13,68,0.74,.160
221NickN SandlinSandlinP221‌‌‌,CLE,8,0,3.75,68,1,0,0,1,4,57.2,46,29,24,12,6,27,68,1.27,.222
227JohnJ BrebbiaBrebbiaP227‌‌‌,ATL,0,6,5.86,59,0,0,0,2,5,55.1,56,36,36,11,3,19,67,1.36,.255
227CalebC FergusonFergusonP227‌‌‌,HOU,1,4,4.64,62,0,0,0,1,3,54.1,56,34,28,6,4,25,67,1.49,.256
227PierceP JohnsonJohnsonP227‌‌‌,ATL,6,6,3.67,58,0,0,0,2,6,56.1,48,25,23,6,2,25,67,1.30,.230
227AndrewA KittredgeKittredgeP227‌‌‌,STL,5,5,2.80,74,0,0,0,1,8,70.2,60,26,22,10,0,20,67,1.13,.228
227RyneR StanekStanekP227‌‌‌,NYM,7,3,4.88,63,0,0,0,7,11,55.1,48,32,30,8,3,25,67,1.32,.226
227HaydenH WesneskiWesneskiP227‌‌‌,CHC,3,6,3.86,28,7,0,0,0,1,67.2,56,37,29,12,2,21,67,1.14,.215
233ShawnS ArmstrongArmstrongP233‌‌‌,CHC,3,3,4.86,57,7,0,0,1,3,66.2,77,38,36,6,2,25,66,1.53,.289
233EmmanuelE ClaseClaseP233‌‌‌,CLE,4,2,0.61,74,0,0,0,47,50,74.1,39,10,5,2,2,10,66,0.66,.154
233EnyelE De Los SantosDe Los SantosP233‌‌‌,CWS,1,2,5.20,64,0,0,0,2,4,64.0,65,38,37,17,5,25,66,1.41,.262
233JhoanJ DuranDuranP233‌‌‌,MIN,6,9,3.64,58,0,0,0,23,25,54.1,48,30,22,4,6,15,66,1.16,.235
233HunterH GaddisGaddisP233‌‌‌,CLE,6,3,1.57,78,0,0,0,0,5,74.2,43,16,13,4,4,14,66,0.76,.166
233JoeJ RossRossP233‌‌‌,MIL,3,6,3.77,25,10,0,0,0,0,74.0,72,35,31,7,1,29,66,1.36,.251
239YennierY CanoCanoP239‌‌‌,BAL,4,3,3.15,70,0,0,0,5,8,60.0,54,24,21,6,1,24,65,1.30,.242
239GregoryG SotoSotoP239‌‌‌,BAL,3,5,4.42,66,0,0,0,2,4,53.0,56,30,26,4,8,27,65,1.57,.272
239VictorV VodnikVodnikP239‌‌‌,COL,5,4,4.28,64,0,0,0,9,15,73.2,72,37,35,7,1,37,65,1.48,.257
239RyanR YarbroughYarbroughP239‌‌‌,TOR,5,2,3.19,44,0,0,0,1,4,98.2,70,36,35,11,12,32,65,1.03,.201
243BenB BrownBrownP243‌‌‌,CHC,1,3,3.58,15,8,0,0,0,0,55.1,41,22,22,5,1,19,64,1.08,.208
243WalkerW BuehlerBuehlerP243‌‌‌,LAD,1,6,5.38,16,16,0,0,0,0,75.1,89,52,45,16,5,28,64,1.55,.289
243SladeS CecconiCecconiP243‌‌‌,AZ,2,7,6.66,20,13,0,0,0,0,77.0,92,57,57,16,4,17,64,1.42,.294
243HobyH MilnerMilnerP243‌‌‌,MIL,5,1,4.73,61,1,0,0,1,1,64.2,63,38,34,6,2,14,64,1.19,.258
243HéctorH NerisNerisP243‌‌‌,HOU,10,5,4.10,62,0,0,0,18,23,59.1,55,31,27,8,2,28,64,1.40,.244
243TaylorT RogersRogersP243‌‌‌,SF,1,4,2.40,64,0,0,0,0,0,60.0,53,22,16,7,2,22,64,1.25,.237
249JoséJ AlvaradoAlvaradoP249‌‌‌,PHI,2,5,4.09,66,0,0,0,13,16,61.2,49,30,28,6,1,28,63,1.25,.215
249OsvaldoO BidoBidoP249‌‌‌,OAK,5,3,3.41,16,9,0,0,0,0,63.1,43,25,24,3,7,26,63,1.09,.192
249CalvinC FaucherFaucherP249‌‌‌,MIA,2,3,3.19,53,0,0,0,6,8,53.2,49,25,19,0,4,26,63,1.40,.246
249DanielD HudsonHudsonP249‌‌‌,LAD,6,2,3.00,65,0,0,0,10,17,63.0,46,25,21,10,1,19,63,1.03,.198
249MerrillM KellyKellyP249‌‌‌,AZ,5,1,4.03,13,13,0,0,0,0,73.2,67,35,33,11,2,19,63,1.17,.242
249KevinK KellyKellyP249‌‌‌,TB,5,2,2.67,68,0,0,0,1,4,70.2,59,25,21,7,5,9,63,0.96,.226
249JaredJ KoenigKoenigP249‌‌‌,MIL,9,4,2.47,55,6,0,0,1,3,62.0,54,22,17,4,4,23,63,1.24,.229
249EvanE PhillipsPhillipsP249‌‌‌,LAD,5,1,3.62,61,0,0,0,18,22,54.2,48,30,22,6,1,17,63,1.19,.232
249WillW VestVestP249‌‌‌,DET,3,4,2.82,69,0,0,0,2,8,70.1,61,23,22,3,3,18,63,1.12,.234
258TylerT FergusonFergusonP258‌‌‌,OAK,4,2,3.68,48,0,0,0,2,4,51.1,32,23,21,4,2,24,62,1.09,.178
258BryanB HudsonHudsonP258‌‌‌,MIL,6,1,1.73,43,0,0,0,0,3,62.1,28,12,12,7,3,17,62,0.72,.135
258KenleyK JansenJansenP258‌‌‌,BOS,4,2,3.29,54,0,0,0,27,31,54.2,38,20,20,4,1,20,62,1.06,.196
258TrevorT RichardsRichardsP258‌‌‌,MIN,2,2,4.55,55,2,0,0,1,4,65.1,44,36,33,7,2,35,62,1.21,.188
258RandyR VásquezVásquezP258‌‌‌,SD,4,7,4.87,20,20,0,0,0,0,98.0,119,56,53,13,6,29,62,1.51,.304
263HoganH HarrisHarrisP263‌‌‌,OAK,4,4,2.86,21,9,0,0,0,0,72.1,65,29,23,7,3,33,61,1.35,.244
263ZackZ KellyKellyP263‌‌‌,BOS,6,3,3.97,49,3,0,0,0,1,56.2,44,31,25,10,2,27,61,1.25,.208
263AustinA VothVothP263‌‌‌,SEA,2,5,3.69,68,0,0,0,0,2,61.0,46,31,25,9,3,18,61,1.05,.204
266KyleK FinneganFinneganP266‌‌‌,WSH,3,8,3.68,65,0,0,0,38,43,63.2,61,31,26,9,0,24,60,1.34,.249
266PhilP MatonMatonP266‌‌‌,NYM,3,3,3.66,71,0,0,0,3,5,64.0,47,27,26,7,9,24,60,1.11,.203
266JoshJ WinckowskiWinckowskiP266‌‌‌,BOS,4,2,4.14,40,6,0,0,2,3,76.0,81,44,35,10,4,26,60,1.41,.272
269AnthonyA BenderBenderP269‌‌‌,MIA,5,2,4.08,59,0,0,0,1,5,53.0,50,25,24,3,4,18,59,1.28,.245
269PaulP BlackburnBlackburnP269‌‌‌,NYM,5,4,4.66,14,14,0,0,0,0,75.1,76,41,39,12,3,21,59,1.29,.262
269LukeL JacksonJacksonP269‌‌‌,ATL,4,3,5.09,52,0,0,0,0,3,53.0,52,33,30,7,2,26,59,1.47,.255
269JoelJ PayampsPayampsP269‌‌‌,MIL,3,7,3.05,68,0,0,0,6,9,59.0,39,23,20,7,2,18,59,0.97,.184
269RobertR SuarezSuarezP269‌‌‌,SD,9,3,2.77,65,0,0,0,36,42,65.0,52,21,20,7,0,16,59,1.05,.217
269TrevorT WilliamsWilliamsP269‌‌‌,WSH,6,1,2.03,13,13,0,0,0,0,66.2,51,17,15,3,0,18,59,1.04,.214
275JorgeJ AlcalaAlcalaP275‌‌‌,MIN,4,3,3.24,54,0,0,0,0,1,58.1,40,23,21,8,3,20,58,1.03,.190
275MikeM BaumannBaumannP275‌‌‌,MIA,3,1,5.55,57,0,0,0,0,3,58.1,59,40,36,9,4,28,58,1.49,.259
275DavidD BednarBednarP275‌‌‌,PIT,3,8,5.77,62,0,0,0,23,30,57.2,54,40,37,9,3,28,58,1.42,.238
275JesúsJ LuzardoLuzardoP275‌‌‌,MIA,3,6,5.00,12,12,0,0,0,0,66.2,61,37,37,9,2,22,58,1.25,.246
275RyanR PresslyPresslyP275‌‌‌,HOU,2,3,3.49,59,0,0,0,4,12,56.2,58,25,22,4,2,18,58,1.34,.264
275JustinJ SlatenSlatenP275‌‌‌,BOS,6,2,2.93,44,0,0,0,2,6,55.1,47,21,18,4,2,9,58,1.01,.223
275SpencerS TurnbullTurnbullP275‌‌‌,PHI,3,0,2.65,17,7,0,0,0,0,54.1,37,17,16,6,5,20,58,1.05,.188
275TaijuanT WalkerWalkerP275‌‌‌,PHI,3,7,7.10,19,15,0,0,0,0,83.2,107,68,66,24,3,37,58,1.72,.317
275JacobJ WebbWebbP275‌‌‌,BAL,2,5,3.02,60,0,0,0,2,3,56.2,40,23,19,4,1,27,58,1.18,.192
275GregG WeissertWeissertP275‌‌‌,BOS,4,2,3.13,62,0,0,0,1,5,63.1,65,32,22,7,0,20,58,1.34,.274
285JustinJ AndersonAndersonP285‌‌‌,CWS,1,2,4.39,56,0,0,0,1,6,53.1,48,29,26,5,3,32,57,1.50,.234
285GrahamG AshcraftAshcraftP285‌‌‌,CIN,5,5,5.24,15,15,0,0,0,0,77.1,89,50,45,11,6,27,57,1.50,.282
285HunterH StricklandStricklandP285‌‌‌,LAA,3,2,3.31,72,0,0,0,1,4,73.1,56,31,27,10,2,24,57,1.09,.211
285EdwinE UcetaUcetaP285‌‌‌,TB,2,0,1.51,30,0,0,0,5,5,41.2,26,8,7,2,1,8,57,0.82,.174
289BrennanB BernardinoBernardinoP289‌‌‌,BOS,4,3,4.06,57,3,0,0,0,2,51.0,50,25,23,6,6,22,56,1.41,.256
289JoeJ BoyleBoyleP289‌‌‌,OAK,3,6,6.42,13,10,0,0,0,0,47.2,42,35,34,4,4,40,56,1.72,.235
289RoansyR ContrerasContrerasP289‌‌‌,LAA,2,4,4.35,49,3,0,0,2,4,68.1,63,36,33,11,4,31,56,1.38,.243
289ColinC HoldermanHoldermanP289‌‌‌,PIT,3,6,3.16,55,0,0,0,0,5,51.1,42,23,18,6,5,25,56,1.31,.223
289JaredJ ShusterShusterP289‌‌‌,CWS,2,5,4.30,39,4,0,0,0,2,73.1,74,38,35,9,0,33,56,1.46,.261
289DrewD SmylySmylyP289‌‌‌,CHC,4,8,3.84,50,0,0,0,0,3,58.2,57,29,25,10,3,25,56,1.40,.252
289JoséJ SuarezSuarezP289‌‌‌,LAA,1,2,6.02,22,3,0,0,1,1,52.1,57,38,35,7,4,27,56,1.61,.274
289BlakeB TreinenTreinenP289‌‌‌,LAD,7,3,1.93,50,0,0,0,1,5,46.2,33,11,10,5,2,11,56,0.94,.194
297JacobJ BarnesBarnesP297‌‌‌,WSH,8,3,4.36,63,0,0,0,0,3,66.0,67,36,32,10,0,20,55,1.32,.266
297JalenJ BeeksBeeksP297‌‌‌,PIT,7,4,4.50,71,0,0,0,10,19,70.0,77,42,35,6,3,27,55,1.49,.279
297JesseJ ChavezChavezP297‌‌‌,ATL,2,2,3.13,46,0,0,0,0,1,63.1,60,27,22,10,1,19,55,1.25,.249
297AlexisA DíazDíazP297‌‌‌,CIN,2,5,3.99,60,0,0,0,28,32,56.1,42,31,25,6,6,31,55,1.30,.206
297AlexA FaedoFaedoP297‌‌‌,DET,5,3,3.61,37,6,0,0,0,3,57.1,49,24,23,9,3,28,55,1.34,.233
297HunterH HarveyHarveyP297‌‌‌,KC,2,4,4.44,49,0,0,0,1,4,50.2,51,28,25,5,5,16,55,1.32,.259
297KyleK NicolasNicolasP297‌‌‌,PIT,2,2,3.95,51,0,0,0,0,0,54.2,51,30,24,4,4,31,55,1.50,.249
297MichelM OtañezOtañezP297‌‌‌,OAK,1,0,3.44,36,0,0,0,1,3,34.0,27,15,13,2,3,20,55,1.38,.214
305MichaelM GroveGroveP305‌‌‌,LAD,4,4,5.12,39,2,0,0,0,1,51.0,46,31,29,6,6,16,54,1.22,.241
305ChadC KuhlKuhlP305‌‌‌,CWS,0,2,5.06,31,1,0,0,1,4,53.1,56,33,30,5,6,25,54,1.52,.273
305TysonT MillerMillerP305‌‌‌,CHC,5,1,2.32,58,0,0,0,1,2,62.0,39,18,16,7,5,11,54,0.81,.180
308AustinA AdamsAdamsP308‌‌‌,OAK,1,2,3.92,56,0,0,0,0,4,41.1,38,20,18,4,13,23,53,1.48,.250
308KyleK BradishBradishP308‌‌‌,BAL,2,0,2.75,8,8,0,0,0,0,39.1,27,12,12,2,3,15,53,1.07,.188
308JakeJ CousinsCousinsP308‌‌‌,NYY,2,1,2.37,37,0,0,0,1,1,38.0,20,14,10,5,5,20,53,1.05,.154
308LuisL GarcíaGarcíaP308‌‌‌,BOS,5,1,4.88,60,0,0,0,4,7,59.0,61,36,32,8,3,15,53,1.29,.260
308JoeJ MantiplyMantiplyP308‌‌‌,AZ,6,2,3.92,75,2,0,0,1,2,59.2,52,27,26,1,0,18,53,1.17,.231
308RandyR RodríguezRodríguezP308‌‌‌,SF,3,2,4.30,35,1,0,0,0,2,52.1,47,29,25,4,3,18,53,1.24,.240
308CalebC ThielbarThielbarP308‌‌‌,MIN,2,4,5.32,59,0,0,0,3,3,47.1,50,33,28,6,0,24,53,1.56,.266
315PorterP HodgeHodgeP315‌‌‌,CHC,3,1,1.88,39,0,0,0,9,12,43.0,19,10,9,2,1,19,52,0.88,.132
315BobbyB MillerMillerP315‌‌‌,LAD,2,4,8.52,13,13,0,0,0,0,56.0,69,53,53,17,2,30,52,1.77,.305
315JoséJ RuizRuizP315‌‌‌,PHI,5,1,3.71,52,0,0,0,1,1,51.0,51,23,21,8,1,17,52,1.33,.260
315RyanR ThompsonThompsonP315‌‌‌,AZ,7,5,3.26,67,0,0,0,2,9,66.1,64,26,24,5,1,15,52,1.19,.254
319HuascarH BrazobánBrazobánP319‌‌‌,NYM,1,3,3.83,39,0,0,0,0,5,51.2,38,26,22,2,3,25,51,1.22,.201
319JakobJ JunisJunisP319‌‌‌,CIN,4,0,2.69,24,6,0,0,1,2,67.0,49,22,20,8,3,8,51,0.85,.203
319TylerT RogersRogersP319‌‌‌,SF,3,4,2.82,77,0,0,0,1,3,70.1,67,23,22,7,7,6,51,1.04,.245
319JoJoJ RomeroRomeroP319‌‌‌,STL,7,3,3.36,65,0,0,0,1,9,59.0,52,23,22,8,5,16,51,1.15,.236
319JustinJ WilsonWilsonP319‌‌‌,CIN,1,5,5.59,60,0,0,0,2,4,46.2,55,30,29,10,2,13,51,1.46,.286
324AnthonyA BandaBandaP324‌‌‌,LAD,3,2,3.08,48,2,0,0,2,4,49.2,44,19,17,5,2,18,50,1.25,.238
324GénesisG CabreraCabreraP324‌‌‌,TOR,3,3,3.59,69,0,0,0,2,5,62.2,63,31,25,10,2,29,50,1.47,.268
324CarlosC EstévezEstévezP324‌‌‌,PHI,4,5,2.45,54,0,0,0,26,31,55.0,38,18,15,5,1,12,50,0.91,.192
324PeterP LambertLambertP324‌‌‌,COL,2,5,5.72,28,3,0,0,0,0,61.1,73,42,39,7,2,29,50,1.66,.302
324JorgeJ LópezLópezP324‌‌‌,CHC,2,3,2.89,52,0,0,0,4,5,53.0,46,19,17,6,2,19,50,1.23,.235
324ChrisC MartinMartinP324‌‌‌,BOS,3,1,3.45,45,0,0,0,2,6,44.1,47,22,17,5,3,3,50,1.13,.276
324TrevorT MegillMegillP324‌‌‌,MIL,1,3,2.72,48,0,0,0,21,24,46.1,33,16,14,4,1,14,50,1.01,.200
324BrentB SuterSuterP324‌‌‌,CIN,1,0,3.15,47,3,0,0,2,2,65.2,63,25,23,10,3,12,50,1.14,.249
332ShawnS DubinDubinP332‌‌‌,HOU,1,1,4.17,31,2,0,0,2,2,45.1,45,25,21,3,2,26,49,1.57,.256
332YimiY GarcíaGarcíaP332‌‌‌,SEA,3,0,3.46,39,0,0,0,5,7,39.0,23,15,15,6,2,12,49,0.90,.167
332DakotaD HudsonHudsonP332‌‌‌,COL,2,12,6.17,18,18,0,0,0,0,89.0,99,66,61,11,5,50,49,1.67,.286
332JamesJ McArthurMcArthurP332‌‌‌,KC,5,7,4.92,57,0,0,0,18,25,56.2,68,36,31,8,3,14,49,1.45,.298
332ShelbyS MillerMillerP332‌‌‌,DET,6,8,4.53,51,0,0,0,2,9,55.2,41,31,28,9,5,13,49,0.97,.202
332LucasL SimsSimsP332‌‌‌,BOS,1,6,4.38,58,0,0,0,1,5,49.1,41,24,24,8,2,30,49,1.44,.229
332RossR StriplingStriplingP332‌‌‌,OAK,2,11,6.01,22,14,0,0,0,0,85.1,109,65,57,7,1,22,49,1.54,.309
