,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
180,Aaron Ekblad,2024-25,FLA,R,D,53,3,27,30,+10,49,0.57,3,19,0,9,0,2,0,2,104,2.9,23:29,--
181,Jean-Gabriel Pageau,2024-25,NYI,R,C,56,11,19,30,+8,21,0.54,8,24,2,3,1,3,0,1,93,11.8,16:48,60.0
182,Vladislav Namestnikov,2024-25,WPG,L,C,56,10,20,30,+19,32,0.54,8,19,2,10,0,1,0,1,69,14.5,15:02,44.9
183,Dylan Cozens,2024-25,BUF,R,C,57,11,19,30,-13,56,0.53,9,26,2,4,0,0,0,1,127,8.7,17:15,50.6
184,Jordan Staal,2024-25,CAR,L,C,59,11,19,30,+13,14,0.51,9,28,0,0,2,2,0,2,84,13.1,15:25,54.3
185,Mason Marchment,2024-25,DAL,L,L,41,14,15,29,+10,39,0.71,13,23,1,6,0,0,0,3,92,15.2,15:32,33.3
186,Jackson LaCombe,2024-25,ANA,L,D,51,10,19,29,+3,18,0.57,9,23,1,5,0,1,0,1,106,9.4,21:11,--
187,Cole Sillinger,2024-25,CBJ,L,C,54,9,20,29,-15,35,0.54,6,24,2,3,1,2,1,2,114,7.9,17:18,46.4
188,Sean Couturier,2024-25,PHI,L,C,57,9,20,29,+5,29,0.51,9,28,0,1,0,0,1,1,101,8.9,16:38,55.9
189,Devon Toews,2024-25,COL,L,D,57,7,22,29,+18,16,0.51,7,28,0,1,0,0,2,3,109,6.4,24:48,--
190,Bowen Byram,2024-25,BUF,L,D,57,7,22,29,+8,22,0.51,7,27,0,2,0,0,0,2,68,10.3,23:10,--
191,Reilly Smith,2024-25,NYR,L,R,58,10,19,29,-1,22,0.50,7,23,1,4,2,2,0,2,89,11.2,15:36,33.3
192,Michael Bunting,2024-25,PIT,L,L,58,14,15,29,-18,48,0.50,5,14,9,15,0,0,0,1,110,12.7,15:15,45.5
193,Jack Roslovic,2024-25,CAR,R,C,58,19,10,29,-9,4,0.50,18,27,1,2,0,0,0,2,102,18.6,13:50,56.2
194,Brett Howden,2024-25,VGK,L,C,58,16,13,29,+9,24,0.50,15,28,0,0,1,1,1,3,101,15.8,14:57,51.8
195,Blake Coleman,2024-25,CGY,L,L,59,12,17,29,-8,24,0.49,9,23,3,4,0,2,0,3,140,8.6,17:42,52.9
196,Nino Niederreiter,2024-25,WPG,L,R,60,14,15,29,+15,18,0.48,12,21,2,8,0,0,0,2,116,12.1,14:41,40.0
197,Jake Neighbours,2024-25,STL,L,L,60,15,14,29,-3,37,0.48,10,20,5,9,0,0,1,1,100,15.0,16:04,27.8
198,Matt Grzelcyk,2024-25,PIT,L,D,61,1,28,29,-11,8,0.48,1,19,0,10,0,0,0,0,74,1.4,20:02,--
199,James van Riemsdyk,2024-25,CBJ,L,L,52,14,14,28,-2,12,0.54,13,26,1,2,0,0,0,2,64,21.9,12:17,18.8
200,Logan Stankoven,2024-25,DAL,R,C,56,9,19,28,+2,4,0.50,8,22,1,6,0,0,0,4,147,6.1,14:59,46.7
201,Thomas Chabot,2024-25,OTT,L,D,57,5,23,28,+12,20,0.49,5,23,0,5,0,0,1,1,135,3.7,23:13,--
202,Bobby Brink,2024-25,PHI,R,R,57,8,20,28,-10,14,0.49,6,24,2,4,0,0,0,2,79,10.1,14:13,29.0
203,Morgan Frost,2024-25,"PHI, CGY",L,C,58,13,15,28,-13,22,0.48,12,20,1,8,0,0,0,2,103,12.6,15:19,51.1
204,Brandon Montour,2024-25,SEA,R,D,59,10,18,28,-12,37,0.47,6,20,4,8,0,0,0,2,168,6.0,23:09,--
205,Tyson Foerster,2024-25,PHI,R,R,59,16,12,28,-5,39,0.47,12,23,4,5,0,0,0,1,91,17.6,16:04,0.0
206,Seth Jones,2024-25,CHI,R,D,42,7,20,27,-18,18,0.64,2,12,5,15,0,0,0,2,81,8.6,24:30,--
207,Mason Lohrei,2024-25,BOS,L,D,55,3,24,27,-16,16,0.49,3,15,0,12,0,0,0,0,59,5.1,18:54,--
208,Scott Laughton,2024-25,PHI,L,C,57,11,16,27,-15,21,0.47,10,25,0,0,1,2,0,1,100,11.0,14:57,49.4
209,Pius Suter,2024-25,VAN,L,C,58,15,12,27,+2,10,0.47,12,22,2,4,1,1,0,3,89,16.9,16:33,42.9
210,Jordan Martinook,2024-25,CAR,L,L,59,10,17,27,+16,10,0.46,10,26,0,0,0,1,0,2,88,11.4,15:23,48.3
211,Jake Evans,2024-25,MTL,R,C,59,11,16,27,+1,10,0.46,8,21,0,0,3,6,0,5,58,19.0,15:33,52.2
212,Ivan Provorov,2024-25,CBJ,L,D,59,7,20,27,+8,18,0.46,5,21,1,3,1,3,0,0,73,9.6,23:37,--
213,Jesperi Kotkaniemi,2024-25,CAR,L,C,59,11,16,27,+8,42,0.46,11,26,0,1,0,0,0,1,89,12.4,13:54,50.4
214,Travis Sanheim,2024-25,PHI,L,D,60,6,21,27,-5,28,0.45,6,23,0,2,0,2,0,0,106,5.7,24:28,--
215,Evan Rodrigues,2024-25,FLA,R,C,61,14,13,27,0,30,0.44,11,22,3,5,0,0,0,1,127,11.0,15:18,45.6
216,Vince Dunn,2024-25,SEA,L,D,40,11,15,26,-7,23,0.65,9,18,2,8,0,0,1,3,94,11.7,22:06,--
217,Trevor Moore,2024-25,LAK,L,L,48,11,15,26,+6,8,0.54,9,23,1,2,1,1,0,1,101,10.9,17:05,0.0
218,Bobby McMann,2024-25,TOR,L,C,51,17,9,26,+5,18,0.51,14,20,3,6,0,0,0,4,122,13.9,14:45,19.1
219,Adam Lowry,2024-25,WPG,L,C,52,11,15,26,+17,21,0.50,11,24,0,0,0,2,1,4,73,15.1,15:22,51.9
220,Will Smith,2024-25,SJS,R,C,52,9,17,26,-9,10,0.50,7,21,2,5,0,0,0,1,74,12.2,14:44,34.3
221,Taylor Hall,2024-25,"CHI, CAR",L,L,55,10,16,26,-12,20,0.47,9,23,1,3,0,0,0,1,98,10.2,14:54,45.7
222,Alex Pietrangelo,2024-25,VGK,R,D,56,3,23,26,+7,12,0.46,3,23,0,1,0,2,0,1,103,2.9,22:37,--
