teamName,playerName,position,updated,injury,injuryStatus
Orlando,Tristan da Silva,SF,"Sat, Jul 19",Rest,Probable for start of season
Orlando,Noah Penda,SF,"Sat, Jul 19",Rest,Probable for start of season
Orlando,Jalen Suggs,SG,"Tue, Jun 24",Knee,Probable for start of season
Philadelphia,Johni Broome,PF,"Thu, Jul 24",Rest,Probable for start of season
Philadelphia,Justin Edwards,SF,"Sat, Jul 19",Rest,Probable for start of season
Philadelphia,Dom Barlow,PF,"Sat, Jul 19",Rest,Probable for start of season
Philadelphia,Adem Bona,PF,"Sat, Jul 19",Rest,Probable for start of season
Philadelphia,Paul George,SF,"Mon, Jul 14",Knee,Probable for start of season
Philadelphia,Jared McCain,SG,"Tue, Jun 24",Knee,Probable for start of season
Philadelphia,Kelly Oubre Jr.,SG,"Tue, Jun 24",Knee,Probable for start of season
Philadelphia,Joel Embiid,C,"Tue, Jun 24",Knee,Probable for start of season
Philadelphia,Andre Drummond,C,"Tue, Jun 24",Toe,Probable for start of season
Philadelphia,Tyrese Maxey,PG,"Tue, Jun 24",Finger,Probable for start of season
Phoenix,Koby Brea,SF,"Thu, Jul 24",Thumb,Probable for start of season
Phoenix,Nick Richards,C,"Tue, Jun 24",Elbow,Probable for start of season
Portland,Yang Hansen,C,"Thu, Jul 24",Rest,Probable for start of season
Portland,Damian Lillard,PG,"Thu, Jul 24",Achilles,Expected to be out until at least Apr 1
Portland,Scoot Henderson,PG,"Tue, Jun 24",Concussion,Probable for start of season
Portland,Shaedon Sharpe,SG,"Tue, Jun 24",Knee,Probable for start of season
Portland,Robert Williams III,C,"Tue, Jun 24",Knee,Probable for start of season
Portland,Jerami Grant,PF,"Tue, Jun 24",Knee,Probable for start of season
Portland,Deni Avdija,SF,"Tue, Jun 24",Thumb,Probable for start of season
Sacramento,Malik Monk,SG,"Tue, Jun 24",Calf,Probable for start of season
San Antonio,Carter Bryant,SF,"Thu, Jul 24",Undisclosed,Probable for start of season
San Antonio,Riley Minix,SF,"Mon, Jul 21",Undisclosed,Probable for start of season
San Antonio,Jeremy Sochan,SF,"Tue, Jun 24",Back,Probable for start of season
San Antonio,De'Aaron Fox,PG,"Tue, Jun 24",Finger,Probable for start of season
San Antonio,Kelly Olynyk,PF,"Tue, Jun 24",Heel,Probable for start of season
San Antonio,Devin Vassell,SG,"Tue, Jun 24",Ankle,Probable for start of season
Toronto,AJ Lawson,SG,"Mon, Jul 21",Hip,Probable for start of season
Toronto,Gradey Dick,SG,"Tue, Jun 24",Knee,Probable for start of season
Toronto,Brandon Ingram,SF,"Tue, Jun 24",Ankle,Probable for start of season
Toronto,Jakob Poeltl,C,"Tue, Jun 24",Hand,Probable for start of season
Utah,RJ Luis Jr.,SG,"Thu, Jul 24",Knee,Probable for start of season
Utah,Walter Clayton Jr.,PG,"Thu, Jul 24",Hamstring,Probable for start of season
Utah,Isaiah Collier,PG,"Sat, Jul 19",Back,Probable for start of season
Utah,Kyle Filipowski,C,"Sat, Jul 19",Rest,Probable for start of season
Utah,Brice Sensabaugh,SG,"Sat, Jul 19",Knee,Probable for start of season
Utah,Taylor Hendricks,PF,"Tue, Jun 24",Lower Leg,Probable for start of season
Utah,Lauri Markkanen,PF,"Tue, Jun 24",Knee,Probable for start of season
Utah,Walker Kessler,C,"Tue, Jun 24",Concussion,Probable for start of season
Utah,Kenyon Martin Jr.,SF,"Tue, Jun 24",Illness,Probable for start of season
Washington,Will Riley,SF,"Thu, Jul 24",Thumb,Probable for start of season
Washington,Tre Johnson,SG,"Thu, Jul 24",Hamstring,Probable for start of season
Washington,Carlton Carrington,PG,"Wed, Jul 16",Rest,Probable for start of season
Washington,Alex Sarr,C,"Wed, Jul 16",Rest,Probable for start of season
Washington,Kyshawn George,SF,"Wed, Jul 16",Rest,Probable for start of season
Washington,Bilal Coulibaly,SF,"Tue, Jun 24",Hamstring,Probable for start of season
Washington,Corey Kispert,SG,"Tue, Jun 24",Thumb,Probable for start of season
Washington,Khris Middleton,SF,"Tue, Jun 24",Knee,Probable for start of season
