PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1627780,225,Gary Payton II,1610612744,GSW,45,13.4,2.2,4.0,0.552,0.3,1.3,0.246,0.5,0.6,0.724,0.8,2.0,2.8,1.2,0.6,0.3,0.6,5.2,7.6
1628436,226,Luke Kornet,1610612738,BOS,51,17.2,2.1,3.2,0.661,0.0,0.0,0.0,0.9,1.2,0.762,2.4,2.7,5.0,1.6,0.5,0.9,0.4,5.2,11.5
1631217,227,Moussa Diabaté,1610612766,CHA,46,19.0,2.1,3.5,0.601,0.0,0.0,0.0,0.9,1.7,0.566,3.0,4.1,7.0,0.8,0.7,0.7,0.9,5.2,11.4
203937,228,Kyle Anderson,1610612748,MIA,40,14.9,2.1,4.7,0.441,0.5,1.4,0.352,0.5,0.8,0.636,0.9,2.3,3.2,2.2,0.7,0.6,0.5,5.2,8.3
1642275,229,Tidjane Salaün,1610612766,CHA,42,19.2,1.7,5.4,0.307,0.9,3.2,0.276,0.9,1.3,0.709,1.1,3.1,4.3,1.0,0.6,0.3,0.9,5.1,6.3
1629674,230,Neemias Queta,1610612738,BOS,44,14.0,2.1,3.2,0.655,0.0,0.0,0.0,0.8,1.1,0.729,1.4,2.3,3.6,0.6,0.3,0.7,0.6,5.0,8.2
1626172,231,Kevon Looney,1610612744,GSW,51,16.0,2.1,4.2,0.505,0.0,0.0,0.0,0.7,1.4,0.543,2.9,3.9,6.8,1.8,0.7,0.4,0.6,5.0,11.4
1628988,232,Aaron Holiday,1610612745,HOU,41,12.6,1.7,4.0,0.416,0.9,2.6,0.352,0.6,0.7,0.893,0.2,1.0,1.2,1.3,0.4,0.1,0.5,4.9,5.0
1628420,233,Monté Morris,1610612756,PHX,40,13.1,1.7,4.3,0.404,0.6,1.8,0.301,0.9,1.0,0.85,0.3,1.2,1.4,1.7,0.4,0.1,0.4,4.9,5.3
1641724,234,Jett Howard,1610612753,ORL,47,11.3,1.6,4.3,0.37,1.0,3.1,0.317,0.3,0.4,0.75,0.4,0.8,1.2,0.8,0.2,0.2,0.5,4.4,3.6
1641763,235,Julian Phillips,1610612741,CHI,55,13.1,1.5,3.4,0.45,0.7,1.9,0.346,0.7,0.9,0.745,0.9,1.2,2.0,0.4,0.5,0.3,0.4,4.4,5.1
1631133,236,Jabari Walker,1610612757,POR,40,10.9,1.5,3.2,0.48,0.3,1.1,0.286,0.7,1.0,0.675,0.8,2.5,3.3,0.5,0.6,0.1,0.5,4.0,6.0
203486,237,Mason Plumlee,1610612756,PHX,56,17.5,1.5,2.6,0.585,0.0,0.0,0.0,0.9,1.5,0.622,1.6,4.6,6.2,1.9,0.4,0.7,0.9,4.0,10.7
1631200,238,Kris Murray,1610612757,POR,47,13.4,1.6,3.6,0.452,0.4,1.5,0.275,0.3,0.8,0.421,1.0,1.1,2.1,0.9,0.4,0.2,0.5,4.0,4.7
1631207,239,Dalen Terry,1610612741,CHI,50,12.4,1.4,3.1,0.458,0.4,1.2,0.345,0.7,1.0,0.673,0.6,0.9,1.5,1.2,0.5,0.2,0.7,3.9,4.5
1641765,240,Olivier-Maxence Prosper,1610612742,DAL,47,11.0,1.4,3.4,0.409,0.2,1.0,0.217,0.9,1.4,0.636,0.9,1.5,2.5,0.8,0.5,0.1,0.3,3.9,4.9
1641748,241,Andre Jackson Jr.,1610612749,MIL,53,16.8,1.5,3.3,0.469,0.5,1.3,0.386,0.2,0.3,0.556,1.1,2.0,3.1,1.4,0.6,0.2,1.0,3.8,6.2
201599,242,DeAndre Jordan,1610612743,DEN,42,11.6,1.6,2.4,0.66,0.0,0.0,0.0,0.3,0.7,0.419,1.3,3.3,4.6,0.9,0.3,0.5,0.7,3.5,7.7
1642263,243,Reed Sheppard,1610612745,HOU,41,11.5,1.3,4.1,0.31,0.7,2.5,0.275,0.2,0.2,0.9,0.4,1.0,1.4,1.0,0.6,0.3,0.6,3.4,3.4
1642345,244,Oso Ighodaro,1610612756,PHX,42,14.4,1.5,2.6,0.574,0.0,0.0,0.0,0.5,0.9,0.528,0.8,2.3,3.2,1.0,0.4,0.4,0.5,3.4,6.3
201587,245,Nicolas Batum,1610612746,LAC,54,17.1,1.1,2.9,0.383,0.9,2.4,0.378,0.2,0.3,0.786,0.6,2.2,2.8,1.2,0.6,0.4,0.4,3.3,6.1
1641816,246,Hunter Tyson,1610612743,DEN,40,7.7,0.7,1.9,0.365,0.4,1.2,0.306,0.4,0.6,0.696,0.4,1.2,1.5,0.4,0.1,0.1,0.3,2.1,2.6
1630579,247,Jericho Sims,1610612749,MIL,42,11.2,0.7,1.1,0.604,0.0,0.0,0.0,0.2,0.3,0.615,1.3,2.0,3.3,0.6,0.2,0.3,0.6,1.6,4.8
203458,248,Alex Len,1610612747,LAL,39,7.5,0.6,1.2,0.522,0.0,0.2,0.167,0.2,0.3,0.538,0.7,1.2,1.9,0.8,0.2,0.5,0.3,1.4,3.8
