Player,Team,PPG,APG,RPG,3PM,Games
Alex Huibregtse,BRAD,12.0,2.0,2.0,3.0,2
Corey Thomas,BRAD,9.5,0.5,2.5,1.0,2
Demarion Burch,BRAD,13.0,1.0,4.0,2.0,1
Dietrich Richardson,BRAD,0.0,0.0,0.0,0.0,1
Gus Rugaard,BRAD,0.0,0.0,0.0,0.0,1
Handy Toussaint,BRAD,0.0,0.0,0.0,0.0,1
Jaquan Johnson,BRAD,23.0,2.5,5.0,1.5,2
Kai Yu,BRAD,3.0,0.0,3.0,0.0,1
Matthew Zobrist,BRAD,0.0,0.0,1.0,0.0,1
Montana Wheeler,BRAD,4.5,4.5,1.0,0.0,2
Timoty van der Knaap,BRAD,3.0,0.5,3.5,0.0,2
Adrian Uchidiuno,BRWN,10.0,1.0,5.5,1.5,2
Brady Loughlin,BRWN,9.0,1.0,3.5,2.0,2
Charlie O'Sullivan,BRWN,9.5,1.0,2.0,2.0,2
Drew Kania,BRWN,2.0,0.5,0.0,0.0,2
Isaiah Langham,BRWN,4.5,0.0,2.0,0.5,2
Jeremiah Jenkins,BRWN,7.5,7.5,5.0,1.0,2
Luke Paragon,BRWN,2.5,0.5,1.0,0.0,2
Malcolm Wrisby-Jefferson,BRWN,4.5,3.0,2.5,0.5,2
N'famara Dabo,BRWN,11.0,1.0,9.5,0.0,2
Wyatt DeGraaf,BRWN,4.5,0.5,3.5,0.0,2
Aaron Davis III,BRY,7.5,1.5,3.5,1.0,2
Ashley Sims II,BRY,4.5,1.5,3.5,0.5,2
Daniel Akoue,BRY,2.5,0.0,3.0,0.5,2
Ethane Bourgade,BRY,1.5,0.0,1.0,0.0,2
Jakai Robinson,BRY,0.0,0.0,0.0,0.0,1
Keegan Harvey,BRY,3.0,1.0,2.0,0.0,2
Khalil Williams,BRY,9.0,2.5,4.5,1.5,2
Lennart Weber,BRY,2.0,1.0,1.5,0.0,2
Quincy Allen,BRY,8.0,0.5,6.5,0.0,2
Timofei Rudovskii,BRY,13.5,1.5,3.5,2.5,2
Ty Tabales,BRY,4.0,2.5,2.0,1.0,2
Azmar Abdullah,BU,3.5,2.0,3.0,0.5,2
Ben Defty,BU,11.0,1.0,5.0,0.0,2
Ben Roy,BU,2.0,1.0,1.5,0.0,2
Chance Gladden,BU,8.0,3.0,2.5,0.0,2
Ethan Okwuosa,BU,5.0,1.0,2.5,0.0,2
Kyrone Alexander,BU,1.0,0.0,2.0,0.0,1
Malcolm Chimezie,BU,5.0,1.0,8.5,0.0,2
Michael McNair,BU,13.0,3.5,3.5,3.0,2
Peter Carr,BU,0.0,0.0,1.0,0.0,1
Quinn Nielsen,BU,0.0,0.0,2.0,0.0,1
Sam Hughes,BU,15.0,0.5,4.5,4.0,2
Achile Spadone,BUCK,9.0,1.0,5.0,1.0,2
Aleksander Pachucki,BUCK,1.0,0.0,1.0,0.0,2
Amon Dörries,BUCK,17.5,1.0,4.0,1.0,2
