teamName,playerName,position,updated,injury,injuryStatus
L.A. Dodgers,T. EdmanTommy Edman,2B,"Fri, Aug 8",Ankle,Expected to be out until at least Sep 1
L.A. Dodgers,G. StoneGavin Stone,SP,"Fri, Aug 1",Shoulder,Out for the season
L.A. Dodgers,M. KopechMichael Kopech,RP,"Thu, Jul 31",Knee,Expected to be out until at least Aug 27
L.A. Dodgers,G. GallegosGiovanny Gallegos,RP,"Wed, Jul 23",Undisclosed,Out for the season
L.A. Dodgers,R. RyanRiver Ryan,SP,"Mon, Jul 21",Elbow,Expected to be out until at least Sep 15
L.A. Dodgers,K. HurtKyle Hurt,RP,"Wed, Apr 2",Elbow,Expected to be out until at least Sep 2
L.A. Dodgers,M. GroveMichael Grove,SP,"Mon, Mar 17",Shoulder,Out for the season
Miami,A. NardiAndrew Nardi,RP,"Sat, Aug 16",Back,Expected to be out until at least Aug 16
Miami,J. TinocoJesus Tinoco,RP,"Wed, Aug 13",Forearm,Expected to be out until at least Aug 22
Miami,R. WeathersRyan Weathers,SP,"Wed, Aug 6",Lat,Expected to be out until at least Sep 1
Miami,G. ConineGriffin Conine,LF,"Thu, Jul 24",Shoulder,Out for the season
Miami,C. NorbyConnor Norby,3B,"Thu, Jul 17",Wrist,Expected to be out until at least Aug 28
Miami,M. MeyerMax Meyer,SP,"Tue, Jul 1",Hip,Out for the season
Miami,B. GarrettBraxton Garrett,SP,"Wed, Jun 25",Elbow,Out for the season
Milwaukee,D. O'RaeDylan O'Rae,SS,"Sat, Aug 16",Undisclosed,Expected to be out until at least Aug 22
Milwaukee,R. ZastryznyRob Zastryzny,RP,"Sat, Aug 16",Ribs,Expected to be out until at least Aug 16
Milwaukee,J. ChourioJackson Chourio,CF,"Tue, Aug 12",Hamstring,Expected to be out until at least Aug 29
Milwaukee,L. HendersonLogan Henderson,SP,"Tue, Aug 12",Elbow,Expected to be out until at least Sep 26
Milwaukee,R. GasserRobert Gasser,SP,"Mon, Aug 11",Elbow,Expected to be out until at least Aug 22
Milwaukee,E. BrownEric Brown,SS,"Sun, Aug 10",Undisclosed,Expected to be out until at least Aug 18
Milwaukee,J. BauersJake Bauers,1B,"Tue, Jul 29",Shoulder,Expected to be out until at least Aug 29
Milwaukee,R. HoskinsRhys Hoskins,1B,"Tue, Jul 29",Thumb,Expected to be out until at least Aug 29
Milwaukee,G. MitchellGarrett Mitchell,CF,"Sat, Jul 26",Shoulder,Out for the season
Milwaukee,C. ThomasConnor Thomas,RP,"Tue, Jul 22",Elbow,Out for the season
Milwaukee,J. BukauskasJ.B. Bukauskas,RP,"Mon, Jul 21",Lat,Out for the season
Milwaukee,T. PannoneThomas Pannone,RP,"Sat, Jun 28",Forearm,Out for the season
Milwaukee,R. RodriguezRamon Rodriguez,C,"Tue, Jun 3",Undisclosed,Out for the season
Milwaukee,J. MontgomeryJordan Montgomery,SP,"Wed, Mar 26",Elbow,Out for the season
Minnesota,S. Woods RichardsonSimeon Woods Richardson,SP,"Sat, Aug 16",Illness,Expected to be out until at least Aug 23
Minnesota,D. FestaDavid Festa,SP,"Sat, Aug 16",Shoulder,Expected to be out until at least Aug 26
Minnesota,T. SchobelTanner Schobel,SS,"Sat, Aug 16",Forearm,Expected to be out until at least Aug 22
Minnesota,P. LopezPablo Lopez,SP,"Sat, Aug 16",Shoulder,Expected to be out until at least Sep 2
Minnesota,A. RodenAlan Roden,LF,"Fri, Aug 15",Thumb,Probable for Aug 16
Minnesota,D. DuarteDaniel Duarte,RP,"Wed, Aug 13",Elbow,Expected to be out until at least Aug 31
Minnesota,A. MisiewiczAnthony Misiewicz,RP,"Sun, Aug 10",Pectoral,Expected to be out until at least Aug 17
Minnesota,C. VazquezChristian Vazquez,C,"Fri, Aug 8",Shoulder,Expected to be out until at least Aug 19
N.Y. Mets,O. OrtegaOliver Ortega,RP,"Sat, Aug 16",Elbow,Expected to be out until at least Aug 16
N.Y. Mets,T. MegillTylor Megill,SP,"Wed, Aug 13",Elbow,Expected to be out until at least Aug 28
N.Y. Mets,J. SiriJose Siri,CF,"Mon, Aug 11",Lower Leg,Expected to be out until at least Aug 19
N.Y. Mets,Y. RiosYacksel Rios,RP,"Sun, Aug 10",Undisclosed,Expected to be out until at least Aug 18
N.Y. Mets,D. SmithDrew Smith,RP,"Fri, Aug 1",Elbow,Expected to be out until at least Sep 1
N.Y. Mets,J. WinkerJesse Winker,DH,"Thu, Jul 31",Back,Expected to be out until at least Sep 9
