PLAYER,TEAM,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Cameron Brown,OKC,5,15.0,3.8,1.4,5.0,0.28,0.6,2.0,0.3,0.4,0.4,1.0,0.8,2.8,3.6,1.6,1.2,0.2,0.4,1.0
Cameron Matthews,HOU,5,23.6,3.8,1.4,3.8,0.368,0.4,1.4,0.286,0.6,1.8,0.333,1.2,2.2,3.4,1.2,1.2,0.4,0.6,2.0
Olivier Nkamhoua,POR,5,10.3,3.8,1.4,3.4,0.412,0.6,1.8,0.333,0.4,0.8,0.5,0.4,1.2,1.6,0.8,0.4,0.8,0.6,0.8
Chucky Hepburn,TOR,5,13.5,3.8,1.0,4.4,0.227,0.8,3.4,0.235,1.0,1.2,0.833,0.4,0.6,1.0,3.6,1.2,0.0,1.6,4.6
Steven Ashworth,IND,5,10.0,3.8,1.0,3.0,0.333,0.8,2.6,0.308,1.0,1.0,1.0,0.0,0.8,0.8,2.4,0.6,0.0,2.4,1.2
Justin McKoy,POR,5,9.3,3.8,1.0,3.8,0.263,0.8,3.2,0.25,1.0,1.2,0.833,0.2,0.6,0.8,0.0,0.2,0.0,0.6,1.2
Warith Alatishe,CLE,4,15.2,3.8,1.8,3.0,0.583,0.0,0.0,0.0,0.3,1.3,0.2,2.3,1.8,4.0,1.0,0.5,1.8,0.5,1.0
Kadin Shedrick,CLE,4,12.0,3.8,0.8,2.3,0.333,0.0,0.8,0.0,2.3,3.0,0.75,1.3,0.3,1.5,0.8,1.0,0.8,1.0,3.3
Dae Dae Grant,NYK,4,10.9,3.8,1.3,5.3,0.238,1.3,3.5,0.357,0.0,0.0,0.0,0.5,0.5,1.0,1.8,0.3,0.0,1.8,2.0
Jordan Gainey,PHX,3,10.2,3.7,1.3,2.3,0.571,0.3,0.7,0.5,0.7,0.7,1.0,0.3,0.7,1.0,1.3,0.7,0.3,0.3,0.3
Jahmyl Telfort,LAC,5,12.3,3.6,1.4,2.6,0.538,0.8,1.6,0.5,0.0,0.4,0.0,0.8,1.6,2.4,1.4,0.4,0.4,0.6,1.4
Dane Goodwin,UTA,5,15.4,3.6,1.2,3.6,0.333,0.8,2.4,0.333,0.4,0.4,1.0,0.2,1.0,1.2,0.4,0.4,0.0,0.2,1.4
Kaodirichi Akobundu-Ehiogu,DEN,2,11.5,3.5,1.5,2.0,0.75,0.0,0.5,0.0,0.5,2.0,0.25,2.0,1.5,3.5,0.0,0.5,1.0,0.5,2.5
Hayden Gray,BOS,2,11.0,3.5,1.5,2.0,0.75,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.5
Yudai Baba,NYK,4,11.9,3.5,1.5,3.5,0.429,0.3,1.8,0.143,0.3,0.5,0.5,0.8,0.3,1.0,1.0,0.3,0.0,1.3,0.8
DaJuan Gordon,LAL,4,17.0,3.5,1.0,5.8,0.174,0.8,3.3,0.231,0.8,1.0,0.75,1.3,2.0,3.3,0.3,1.0,0.0,1.0,2.0
Miller Kopp,DET,4,12.3,3.5,1.3,2.8,0.455,1.0,2.5,0.4,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.3,2.5
Rocco Zikarsky,MIN,5,7.9,3.4,1.2,1.8,0.667,0.0,0.0,0.0,1.0,1.8,0.556,0.8,1.4,2.2,0.8,0.2,0.6,0.8,1.4
Jeremy Jones,MEM,5,14.1,3.4,1.4,4.2,0.333,0.6,2.6,0.231,0.0,0.0,0.0,0.4,1.6,2.0,1.0,0.6,0.0,0.2,0.0
Tyron Brewer,OKC,5,10.8,3.4,1.4,4.4,0.318,0.4,1.8,0.222,0.2,0.8,0.25,0.6,0.6,1.2,0.2,0.4,0.0,1.2,1.2
R.J. Felton,IND,3,5.7,3.3,1.3,3.0,0.444,0.7,1.7,0.4,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,0.3,0.7,1.0
Denver Jones,CLE,3,13.2,3.3,1.3,6.0,0.222,0.0,2.7,0.0,0.7,1.3,0.5,0.7,0.7,1.3,0.3,0.7,0.0,2.0,3.0
Adama Sanogo,UTA,4,12.9,3.3,1.3,1.8,0.714,0.0,0.0,0.0,0.8,1.0,0.75,2.0,3.5,5.5,1.8,0.5,0.5,0.3,0.8
Christian Shumate,NOP,4,17.4,3.3,1.5,3.5,0.429,0.0,1.3,0.0,0.3,0.5,0.5,1.8,4.3,6.0,0.5,0.5,0.3,1.3,1.8
Saint Thomas,PHL,4,9.7,3.3,1.3,3.3,0.385,0.3,1.5,0.167,0.5,0.5,1.0,1.3,1.5,2.8,0.8,0.8,0.5,0.3,1.0
