teamName,playerName,position,updated,injury,injuryStatus
Boston,C. MurphyChris Murphy,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Jun 1
Boston,L. GiolitoLucas Giolito,SP,"Thu, Mar 27",Hamstring,Expected to be out until at least Apr 16
Boston,Z. PenrodZach Penrod,RP,"Thu, Mar 27",Elbow,Expected to be out until at least May 30
Boston,L. HendriksLiam Hendriks,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Apr 8
Boston,M. YoshidaMasataka Yoshida,DH,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 6
Boston,P. SandovalPatrick Sandoval,SP,"Mon, Feb 17",Elbow,Expected to be out until at least Aug 1
Chi. Cubs,V. BrujanVidal Brujan,SS,"Thu, Mar 27",Elbow,Expected to be out until at least Apr 2
Chi. Cubs,B. BirdsellBrandon Birdsell,SP,"Thu, Mar 27",Lat,Expected to be out until at least Jun 1
Chi. Cubs,R. BrasierRyan Brasier,RP,"Thu, Mar 27",Hip,Expected to be out until at least Apr 9
Chi. Cubs,B. HellerBen Heller,RP,"Thu, Mar 27",Undisclosed,Expected to be out until at least Jun 1
Chi. Cubs,T. MillerTyson Miller,RP,"Wed, Mar 26",Hip,Expected to be out until at least Apr 5
Chi. Cubs,J. AssadJavier Assad,RP,"Tue, Mar 18",Oblique,Expected to be out until at least Apr 11
Chi. White Sox,J. RojasJosh Rojas,2B,"Thu, Mar 27",Toe,Expected to be out until at least Apr 4
Chi. White Sox,T. GilbertTyler Gilbert,RP,"Thu, Mar 27",Knee,Expected to be out until at least Apr 11
Chi. White Sox,M. TauchmanMike Tauchman,RF,"Thu, Mar 27",Hamstring,Expected to be out until at least Apr 4
Chi. White Sox,D. ThorpeDrew Thorpe,SP,"Thu, Mar 27",Elbow,Out for the season
Chi. White Sox,B. RamosBryan Ramos,DH,"Thu, Mar 27",Elbow,Expected to be out until at least Apr 4
Chi. White Sox,P. BerroaPrelander Berroa,RP,"Sun, Mar 23",Elbow,Out for the season
Chi. White Sox,K. BushKy Bush,SP,"Mon, Feb 17",Elbow,Out for the season
Chi. White Sox,J. ScholtensJesse Scholtens,RP,"Wed, Feb 12",Elbow,Expected to be out until at least Jul 1
Cincinnati,T. AntoneTejay Antone,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Jul 1
Cincinnati,C. CollierCam Collier,3B,"Thu, Mar 27",Thumb,Expected to be out until at least Jun 1
Cincinnati,A. DiazAlexis Diaz,RP,"Wed, Mar 26",Hamstring,Expected to be out until at least Apr 8
Cincinnati,B. WilliamsonBrandon Williamson,SP,"Wed, Mar 26",Elbow,Out for the season
Cincinnati,R. LowderRhett Lowder,SP,"Wed, Mar 26",Forearm,Expected to be out until at least Apr 20
Cincinnati,A. AbbottAndrew Abbott,SP,"Wed, Mar 26",Shoulder,Expected to be out until at least Apr 8
Cincinnati,T. StephensonTyler Stephenson,C,"Wed, Mar 26",Oblique,Expected to be out until at least Apr 3
Cincinnati,A. HaysAustin Hays,LF,"Wed, Mar 26",Calf,Expected to be out until at least Apr 3
Cincinnati,J. AguiarJulian Aguiar,SP,"Thu, Feb 13",Elbow,Out for the season
Cleveland,T. StephanTrevor Stephan,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Jun 1
Cleveland,E. SabrowskiErik Sabrowski,RP,"Thu, Mar 27",Elbow,Expected to be out until at least May 1
Cleveland,S. CecconiSlade Cecconi,SP,"Thu, Mar 27",Oblique,Expected to be out until at least Apr 11
Cleveland,J. MeansJohn Means,SP,"Thu, Mar 27",Elbow,Expected to be out until at least Sep 1
Cleveland,S. BieberShane Bieber,SP,"Thu, Mar 27",Elbow,Expected to be out until at least Jul 1
Cleveland,T. BibeeTanner Bibee,SP,"Thu, Mar 27",Illness,Expected to be out until at least Mar 29
Cleveland,D. FryDavid Fry,C,"Wed, Feb 19",Elbow,Expected to be out until at least May 26
Cleveland,S. HentgesSam Hentges,RP,"Mon, Feb 17",Shoulder,Out for the season
Colorado,J. CriswellJeff Criswell,SP,"Thu, Mar 27",Elbow,Out for the season
Colorado,T. EstradaThairo Estrada,2B,"Thu, Mar 27",Wrist,Expected to be out until at least May 16
Colorado,A. GomberAustin Gomber,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 11
Detroit,T. MaddenTy Madden,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 11
Detroit,W. PerezWenceel Perez,CF,"Thu, Mar 27",Back,Expected to be out until at least May 1
Detroit,M. VierlingMatt Vierling,CF,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 17
Detroit,A. CobbAlex Cobb,SP,"Thu, Mar 27",Hip,Expected to be out until at least May 1
Detroit,K. MaedaKenta Maeda,SP,"Wed, Mar 26",Illness,Probable for Mar 27
Detroit,P. MeadowsParker Meadows,CF,"Mon, Mar 24",Arm,Expected to be out until at least May 26
Detroit,S. Gipson-LongSawyer Gipson-Long,SP,"Sat, Mar 8",Elbow,Expected to be out until at least Jul 1
Detroit,J. UrquidyJose Urquidy,SP,"Sat, Mar 8",Elbow,Expected to be out until at least Jul 20
Detroit,A. LangeAlex Lange,RP,"Mon, Feb 17",Lat,Expected to be out until at least May 26
Houston,K. OrtKaleb Ort,RP,"Thu, Mar 27",Oblique,Expected to be out until at least Apr 11
Houston,P. LeonPedro Leon,CF,"Thu, Mar 27",Knee,Expected to be out until at least Apr 18
Houston,L. GarciaLuis Garcia,SP,"Thu, Mar 27",Elbow,Expected to be out until at least May 2
Houston,J. FranceJ.P. France,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Aug 1
Houston,S. DubinShawn Dubin,RP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 18
Houston,C. JavierCristian Javier,SP,"Thu, Mar 27",Elbow,Expected to be out until at least Jul 20
Houston,L. McCullersLance McCullers,SP,"Thu, Mar 27",Forearm,Expected to be out until at least May 14
Houston,T. TrammellTaylor Trammell,LF,"Thu, Mar 27",Calf,Expected to be out until at least May 1
Houston,F. WhitleyForrest Whitley,SP,"Thu, Mar 27",Knee,Expected to be out until at least Apr 11
Kansas City,A. MarshAlec Marsh,RP,"Mon, Mar 24",Shoulder,Expected to be out until at least Apr 22
Kansas City,J. McArthurJames McArthur,RP,"Mon, Mar 24",Elbow,Expected to be out until at least May 1
Kansas City,K. WrightKyle Wright,SP,"Mon, Mar 24",Shoulder,Expected to be out until at least May 1
L.A. Angels,S. BachmanSam Bachman,RP,"Thu, Mar 27",Shoulder,Expected to be out until at least May 1
L.A. Angels,Y. MoncadaYoan Moncada,3B,"Thu, Mar 27",Thumb,Expected to be out until at least Mar 29
L.A. Angels,Z. NetoZachary Neto,SS,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 15
L.A. Angels,R. StephensonRobert Stephenson,RP,"Thu, Mar 13",Elbow,Expected to be out until at least May 30
L.A. Angels,A. RendonAnthony Rendon,3B,"Sat, Feb 15",Hip,Expected to be out until at least Jul 1
L.A. Dodgers,M. KopechMichael Kopech,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 18
L.A. Dodgers,E. SheehanEmmet Sheehan,SP,"Thu, Mar 27",Elbow,Expected to be out until at least Jul 1
L.A. Dodgers,E. HernandezEnrique Hernandez,3B,"Thu, Mar 27",Illness,Probable for Mar 28
L.A. Dodgers,E. HenriquezEdgardo Henriquez,SP,"Tue, Mar 18",Foot,Expected to be out until at least Apr 11
L.A. Dodgers,E. PhillipsEvan Phillips,RP,"Tue, Mar 18",Shoulder,Expected to be out until at least Apr 11
L.A. Dodgers,T. GonsolinTony Gonsolin,SP,"Tue, Mar 18",Back,Expected to be out until at least Apr 11
L.A. Dodgers,K. HurtKyle Hurt,RP,"Tue, Mar 18",Elbow,Expected to be out until at least May 13
L.A. Dodgers,C. KershawClayton Kershaw,SP,"Tue, Mar 18",Toe,Expected to be out until at least May 27
L.A. Dodgers,M. GroveMichael Grove,SP,"Mon, Mar 17",Shoulder,Out for the season
L.A. Dodgers,B. GraterolBrusdar Graterol,RP,"Mon, Mar 17",Shoulder,Expected to be out until at least Jul 18
L.A. Dodgers,G. StoneGavin Stone,SP,"Thu, Feb 20",Shoulder,Out for the season
L.A. Dodgers,R. RyanRiver Ryan,SP,"Thu, Feb 13",Elbow,Out for the season
Miami,C. NorbyConnor Norby,3B,"Thu, Mar 27",Oblique,Expected to be out until at least Apr 22
Miami,E. CabreraEdward Cabrera,SP,"Thu, Mar 27",Finger,Expected to be out until at least Apr 11
Miami,R. WeathersRyan Weathers,SP,"Thu, Mar 27",Forearm,Expected to be out until at least May 1
Miami,D. CroninDeclan Cronin,RP,"Thu, Mar 27",Hip,Expected to be out until at least Apr 11
Miami,J. SanchezJesus Sanchez,CF,"Thu, Mar 27",Side,Expected to be out until at least Apr 6
Miami,A. NardiAndrew Nardi,RP,"Sun, Mar 16",Back,Expected to be out until at least May 26
Miami,E. PerezEury Perez,SP,"Thu, Feb 20",Elbow,Expected to be out until at least Jul 18
Miami,B. GarrettBraxton Garrett,SP,"Wed, Feb 12",Elbow,Out for the season
Milwaukee,A. AshbyAaron Ashby,SP,"Thu, Mar 27",Oblique,Expected to be out until at least Apr 25
Milwaukee,J. BukauskasJ.B. Bukauskas,RP,"Thu, Mar 27",Lat,Out for the season
Milwaukee,T. PannoneThomas Pannone,RP,"Thu, Mar 27",Forearm,Expected to be out until at least Jun 2
Milwaukee,N. MearsNick Mears,RP,"Thu, Mar 27",Illness,Expected to be out until at least Apr 11
