col_0,col_1,col_2,col_3
Jakai Newton,G,Out indefinitely - Undisclosed - 2/11/25,"Newton is dealing with an undisclosed injury, and a timetable for return has yet to be established."
Jackson Creel,G,Out indefinitely - Undisclosed - 3/2/25,"Creel is managing with undisclosed injury, and a timetable for return has yet to be established."
Gabe Cupps,G,Out indefinitely - Undisclosed - 12/11/24,"Cupps has been out of the lineup with a lower body injury, and he will miss an undetermined length of time."
Shaun Burke,G,Out indefinitely - Undisclosed - 11/29/24,"Burke is dealing with an undisclosed injury, and he is without a definitive timetable for return."
Ian Stephens,G,Out indefinitely - Undisclosed - 11/29/24,"Stephens is battling with an undisclosed injury, and the team officials have yet to provide an exact return date."
Owen Freeman,F,out for season - Finger - 3/12/25,"Freeman is out of action with right finger injury, and he is likely to miss the remainder of the season."
Cooper Koch,F,Out indefinitely - Undisclosed - 3/12/25,"Koch has been out of the lineup with an undisclosed injury, and a timetable for return has yet to be established."
Tamin Lipsey,G,Ques Thurs - Groin - 3/12/25,"Lipsey is battling a groin injury, and it is undetermined if he will be active versus BYU on Thursday."
Keshon Gilbert,G,Out Thurs - Undisclosed - 3/12/25,"Gilbert is managing an undisclosed injury, and he is not projected to suit up against BYU on Thursday."
Andre Weir,C,Questionable - Foot - 3/14/25,"Weir is managing a foot injury, and it uncertain if he will participate for the next contest."
Isaiah Ihnen,F,out for season - Undisclosed - 3/12/25,"Ihnen has been out of commission due to an undisclosed injury, and he is likely to miss the remainder of the season."
Dylan Faulkner,F,out for season - Foot - 1/17/25,"Faulkner is dealing with a broken foot, and he is likely to miss the remainder of the season."
KK Robinson,G,Out indefinitely - Undisclosed - 11/5/24,"Robinson will miss an undetermined length of time with an undisclosed injury, and there is no timetable for recovery."
Jalen Reed,F,out of season - Knee - 12/4/24,"Reed has been out of commission with a torn ACL, and he has been shut down for the remainder of the season."
Tyrell Ward,G,Out indefinitely - Undisclosed - 12/8/24,"Ward is sidelined with an undisclosed injury, and he will miss an undetermined length of time."
Sean Newman Jr.,G,Ques Thurs - Ankle - 3/7/25,"Newman Jr. is nursing with an ankle injury, and it is unknown if he will face New Mexico State on Thursday."
Will Jeffress,F,out of season - Leg - 11/26/24,"Jeffress has undergo knee injury, and he is likely to miss the remainder of the season."
Justin Moore,G,out of season - Leg - 12/17/24,"Moore is dealing with a leg injury, and has been shut down for the remainder of the season."
Sean Jones,G,out of season - Knee - 1/6/25,"Jones is tending a knee injury, and he has been shut down for the remainder of the season."
Al Amadou,F,out of season - Redshirt - 11/5/24,"Amadou is sidelined with a redshirt, and he is expected to miss the remainder of the season."
Chance Stephens,G,Out indefinitely - Undisclosed - 1/19/25,"Stephens has been sidelined with an undisclosed injury, and there is no timetable for recovery."
Braden Pierce,C,out of season - Undisclosed - 12/4/24,"Pierce has been sidelined due to an undisclosed injury, and he has been shut down for the remainder of the season."
Jahari Long,G,Out indefinitely - Knee - 11/24/24,"Long is nursing with a knee injury, and he will miss an extended period."
Akil Watson,F,Out indefinitely - Undisclosed - 3/12/25,"Watson is out of commission due to an undisclosed injury, and he will miss an extended period."
Alyn Breed,G,Out indefinitely - Knee - 3/12/25,"Breed will miss an undetermined length of time with a knee injury, and there is no timetable for return."
Tyrese Hunter,G,Ques Sun - Foot - 3/15/25,"Hunter exited the matchup with a foot injury, and it is undetermined if he will be active for the next game."
Dante Harris,G,Out indefinitely - Ankle - 3/6/25,"Harris is nursing with an ankle injury, and he will miss an undetermined length of time."
Paul Djobet,G,Questionable - Undisclosed - 3/8/25,"Djobet is dealing with an undisclosed injury, and it is unclear if he will play next game."
Lynn Kidd,C,Questionable - Undisclosed - 3/8/25,"Kidd is dealing with an undisclosed injury, and it is unclear if he will play next game."
Nijel Pack,G,Out indefinitely - Foot - 1/9/25,"Pack is bothered by a foot injury, and a timetable for return has yet to be established."
Sam Walters,F,Out indefinitely - Back - 3/2/25,"Walters has been out of the lineup with a back injury, and there is no timetable for return."
Tyler Cochran,G,Out indefinitely - Foot - 3/12/25,"Cochran will miss an undetermined length of time with a foot injury, and he is without a definitive timetable for return."
Kanye Clary,G,Out indefinitely - Leg - 12/5/24,"Clary suffered a lower leg injury, and he will miss an undetermined length of time."
Nick Kramer,G,out for season - Knee - 10/17/24,"Kramer is out of action with a knee injury, and has been shut down for the remainder of the season."
Trey Parker,G,Questionable - Personal - 3/8/25,"Parker is dealing with personal reasons, and it is uncertain if he will play next game."
Dennis Parker Jr.,G,Questionable - Undisclosed - 3/8/25,"Parker Jr. is dealing with an foot injury, and it is unclear if he will play next game."
Mike James,G,out of season - Knee - 2/18/25,James is expected to miss the remainder of the season due to a knee surgery.
Braxton Meah,C,Questionable - Undisclosed - 3/9/25,"Meah is dealing with an undisclosed injury, and it is unknown if he will dress for the next matchup."
Justin Bolis,F,Questionable - Undisclosed - 3/9/25,"Bolis is managing an undisclosed injury, and it is unclear if he will suit up for the next matchup."
Jalen Leach,G,out for season - Knee - 3/12/25,"Leach is out of action with a knee injury, and he is expected to miss the remainder of the season."
Brooks Barnhizer,G,out for season - Foot - 3/12/25,"Barnhizer is set to undergo surgery for his foot, and is projected to miss the remainder of the season."
Blake Barkley,F,Out indefinitely - Undisclosed - 3/12/25,"Barkley is managing an undisclosed injury, and he will miss an extended period."
Kebba Njie,F,Questionable - Concussion - 3/12/25,"Njie is dealing with concussion, and it is unclear if he will dress for the next game."
Braeden Shrewsberry,G,Questionable - Abdominal - 3/12/25,"Shrewsberry is dealing with an abddomen injury, and it is unclear if he will be active for the next matchup."
Aidan Hadaway,F,Out indefinitely - Leg - 2/9/25,"Hadaway is dealing with a leg injury, and he is without a definitive timetable for return."
Colby Baumann,G,Questionable - Illness - 3/12/25,"Baumann is ailing with an illness, and it is undetermined if he will be active for the next clash."
Meechie Johnson Jr.,G,Out indefinitely - Undisclosed - 3/12/25,"Johnson is battling with an undisclosed injury, and he is without a definitive timetable for return."
Austin Parks,C,Out indefinitely - Undisclosed - 3/12/25,"Parks is dealing with an undisclosed injury, and it is unclear how long he will be idle."
Sam Godwin,F,Questionable - Knee - 3/13/25,"Godwin missed the previous game due to a knee injury, and it is unknown if he will play the next game."
Jadon Jones,G,Out indefinitely - Back - 11/29/24,"Jones has been sidelined due to a back injury, and it is unknown when he will return to action."
Jeff Nwankwo,G,Out indefinitely - Achilles - 10/23/24,"Nwanko will miss an extended period due to an achillies injury, and he will miss an undetermined length of time."
Jamari Phillips,G,Out indefinitely - Undisclosed - 2/20/25,"Phillips has been out of lineup due to an undisclosed injury, and it is unknown how long he will be debilitated."
Andre Warren,G,Out indefinitely - Undisclosed - 12/16/24,"Warren has been sidelined battling an undisclosed injury, and it is uncertain when he will take the court again."
Dezdrick Lindsay,F,out for season - Shoulder - 12/3/24,"Lindsay is out of commission due to a shoulder injury, and he is projected to miss the remainder of the season."
Puff Johnson,G,Out indefinitely - Hand - 2/15/25,"Johnson is dealing with a hand injury, and the severity of the injury is unknown."
Eli Rice,G,out of season - Undisclosed - 11/29/24,"Rice is battling an undisclosed injury, and he has been shut down for the remainder of the season."
Damian Dunn,G,out for season - Elbow - 2/10/25,"Dunn is out of action with a fractured elbow, and he has been shut down for the remainder of the season."
Preston Lee,G,out of season - Redshirt - 11/7/24,Lee is likely to miss the remainder of the season with a Redshirt.
NaVaughn Long,G,out of season - Redshirt - 11/7/24,Long is expected to miss the remainder of the season with a Redshirt.
Wyatt Miller,G,out of season - Redshirt - 11/7/24,Miller has been shut down for the remainder of the season with a Redshirt.
Deven Austin,G,Out indefinitely - Knee - 12/3/24,"Austin has been sidelined with a knee injury, and it is unclear when he will return to action."
Jabri Abdur-Rahim,G,out for season - Knee - 3/12/25,"Abdur-Rahim has been out of commission due to knee injury, and he has been shut down for the remainder of the season."
Bryce Hopkins,F,out for season - Knee - 3/12/25,"Hopkins is out of commission due to a knee injury, and has been shut down for the remainder of the season."
Daniel Jacobsen,C,out of season - Knee - 11/10/24,"Jacobsen has been out of commission due to a knee injury, and he is expected to miss the remainder of the season."
Gavin Rains,F,Out indefinitely - Knee - 11/24/24,"Rains is hobbled by a knee injury, and he will miss an extended period."
Trey Patterson,F,Out indefinitely - Undisclosed - 3/12/25,"Patterson has been sidelined due to an undisclosed injury, and he will miss an extended period."
Jalen Smith,G,Out indefinitely - Undisclosed - 3/12/25,"Smith is battling an undisclosed injury, and the team officials have yet to provide an exact return date."
George Washington III,G,Questionable - Leg - 3/12/25,"Washington III is managing a lower leg injury, and it is unclear if he will dress for the next game."
Khaafiq Myers,G,Out Indefinitely - Knee - 1/30/25,"Khaafiq is nursing with a knee injury, and there is no timetable for return."
Steven Solano,C,out for season - Personal - 1/29/25,"Solano is out of commission due to a personal matter, and he is likely to miss the remainder of the season."
Kellen Thames,G,Out indefinitely - Undisclosed - 3/2/25,"Thames is managing an undisclosed injury, and it is unknown how long he will be debilitated."
AJ Casey,F,out for season - Undisclosed - 1/14/25,"Casey is taking a medical redshirt due to a back injury, and he is projected to miss the remainder of the season."
Larry Hughes Jr.,G,Out indefinitely - Back - 12/31/24,"Hughes has been out of the lineup with a back injury, and there is no timetable for return."
Josiah Dotzler,G,out of season - Knee - 11/26/24,"Dotzler has been sidelined with a knee injury, and he is likely to miss the remainder of the season."
Kjay Bradley Jr.,G,Out indefinitely - Personal - 2/8/25,"Bradley Jr has been sidelined due to personal reasons, and there is no timetable for return."
Reese Waters,G,out for season - Foot - 2/21/25,"Waters is out of commission due to a foot injury, and he is projected to miss the remainder of the season."
Will McClendon,G,Ques Sat - Knee - 3/14/25,"McClendon is battling a knee injury, and it is unclear if he play against George Mason on Saturday."
Chaunce Jenkins,G,Out indefinitely - Hamstring - 1/22/25,"Jenkins is tending to a hamstring injury, and a timetable for return has yet to be established."
